levels	use_as	name	signature
level1	positive	Immune	
level1	positive	Lymphoid	
level1	positive	PanBcell	
level1	positive	Bcell	
level1	negative	Epithelial	
level1	negative	Stromal	
level2	positive	Lymphoid	
level2	positive	Bcell	
level2	positive	PanBcell	
level2	positive	Plasma_cell	
level2	negative	Myeloid	
level2	negative	MoMacDC	
level2	negative	Neutrophils	
level2	negative	pDC	
level3	positive	PanBcell	
level3	positive	Plasma_cell	
level3	positive	Bcell	
level3	negative	Tcell	
level3	negative	NK	
