name	signature
Immune	PTPRC
Lymphoid	LCK
Myeloid	SPI1
Tcell	CD3D;CD3E;CD3G;CD2
Macrophage	CD40;CD68;CD14;FCGR1A
MoMacDC	LYZ;CSF1R;MSR1;MAFB;CD300E
Epithelial	CDH1;FLT1
Stromal	MMP2;COL1A1;COL1A2;COL5A1;LUM;PDGFRA
Bcell	MS4A1;BANK1;PAX5;CD19
Plasma_cell	IGKC;IGHG3;IGHG1;IGHA1;CD19-
PanBcell	CD79A
NK	KLRD1;NKG7;NCR1;FCGR3A;CD3D-;CD3E-;CD3G-;CD8A-;CD8B-
Neutrophils	CSF3R;FCGR3B
CD4T	CD4;CD40LG
Treg	FOXP3
CD8T	CD8A;CD8B
Tgammadelta	TRDC;TRGC1;TRGC2;TRDV1
Talphabeta	TRAC;TRBC1;TRBC2
pDC	CCR9;LILRA4
Erythrocyte	HBB;HBA2;HBA1
