levels	use_as	name	signature
level1	positive	Immune	
level1	positive	Myeloid	
level1	positive	Macrophage	
level1	positive	MoMacDC	
level1	positive	pDC	
level1	positive	DC1	Xcr1;Cadm1;Itgae
level1	positive	DC2	Lilrb4;Csf1r;Itgax
level1	positive	DC3	Fscn1;Ccr7
level1	positive	MonoDC	Clec10a;Fit3
level1	negative	Epithelial	
level2	positive	Myeloid	
level2	positive	Macrophage	
level2	positive	MoMacDC	
level2	positive	pDC	
level2	positive	DC1	Xcr1;Cadm1;Itgae
level2	positive	DC2	Lilrb4;Csf1r;Itgax
level2	positive	DC3	Fscn1;Ccr7
level2	positive	MonoDC	Clec10a;Fit3
level2	negative	Lymphoid	
level2	negative	Tcell	
level2	negative	Bcell	
level2	negative	Plasma_cell	
level2	negative	PanBcell	
level3	positive	Macrophage	
level3	positive	MoMacDC	
level3	positive	pDC	
level3	positive	DC1	Xcr1;Cadm1;Itgae
level3	positive	DC2	Lilrb4;Csf1r;Itgax
level3	positive	DC3	Fscn1;Ccr7
level3	positive	MonoDC	Clec10a;Fit3
