Column	Summary
orig.ident			Combination of tumor and tissue type as unique identifier
nCount_RNA			summary of counts
nFeature_RNA			summary of features
mito.genes			percent of mitochondiral genes
ribo.genes			percent of ribosomal genes
db.class			scDblFinder output
db.score			scDblFinder output
HPCA.labels			SingleR output using HPCA reference
HPCA.pruned.labels		SingleR output using HPCA reference
Monaco.labels			SingleR output using Monaco reference
Monaco.pruned.labels		SingleR output using Monaco reference
predicted.celltype.l1.score	Azimuth output using pbmcref data set
predicted.celltype.l1		Azimuth output using pbmcref data set     predicted.celltype.l2.score	Azimuth output using pbmcref data set
predicted.celltype.l2		Azimuth output using pbmcref data set      
predicted.celltype.l3.score	Azimuth output using pbmcref data set
predicted.celltype.l3		Azimuth output using pbmcref data set
mapping.score			Azimuth output using pbmcref data set  
CTgene				Clonotype by TCRA_TCRB genes
CTnt				Clonotype by TCRA_TCRB cdr3 nucleotide sequences
CTaa				Clonotype by TCRA_TCRB cdr3 amino acid sequences
CTstrict			Clonotype by TCRA_TCRB genes and cdr3 nucleotide sequences
clonalFrequency			Counts of the frequency of an individual clone by sequencing run
clonalProportion 		Proportion of an individual clone by sequencing run
cloneSize			Clonal grouping based on clonalProportion 
